,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
20266,王天覺,元,未詳,未詳,Wang Tianjue,薦舉門,未詳,未詳,,,0,,【未詳】,,101087,書院山長,,,,101087
20267,郭彥昶,元,未詳,未詳,Guo Yanchang,,未詳,未詳,,,0,,【未詳】,,107850,,,,,107850
20268,杜溥,元,未詳,未詳,Du Pu,,未詳,未詳,,,0,,【未詳】,,103540,,,,,103540
20269,饒材,元,未詳,未詳,Rao Cai,,未詳,未詳,,,0,1338,【未詳】,"Rao(1) Cai [27919] CHECK funerary inscription of father-in-law, Cheng Jufu [27853].",27919,,0,0,0,27919
20270,林彥廣,元,未詳,未詳,Lin Yanguang,,未詳,未詳,,,0,,【未詳】,,104285,,,,,104285
20271,魯懋,元,未詳,未詳,Lu Mao,,未詳,未詳,,,0,,【未詳】,,111984,,,,,111984
20272,趙從諒,元,未詳,未詳,Zhao Zongliang,,未詳,未詳,,,0,,【未詳】,,110696,,,,,110696
20273,脫脫木兒,元,未詳,未詳,Tuotuomuer,,未詳,未詳,,,0,,【未詳】,,117153,,,,,117153
20274,釋可觀,元,未詳,未詳,Shi Keguan,,未詳,未詳,,,0,,【未詳】,,113110,,,,,113110
20275,李氏(胡道生妻),元,未詳,未詳,Li Shi(Wife of Hu Dao Sheng),,未詳,未詳,,,1,1351,【未詳】,,386489,,,,,386489
20276,夏邕,元,未詳,未詳,Xia Yong,特旨門,未詳,未詳,,,1,1343,【未詳】,"Xia(2) Yong [28245] CHECK funerary inscription. WDY, 3, p. 1931.",28245,[妻];[母],1318,1343,26,28245
20277,梅頤,元,未詳,未詳,Mei Yi,薦舉門,未詳,未詳,,,0,,【未詳】,,107503,,,,,107503
20278,黃鑄,元,未詳,未詳,Huang Zhu,,未詳,未詳,,,0,1316,【未詳】,"Huang(2) Zhu [10739] CHECK Funerary inscriptions. WDY, 3, 1476.",10739,為善鄉里;士人;士人,1257,1331,75,10739
20279,完顏石柱,元,未詳,未詳,Wanyan Shizhu,血親門,未詳,未詳,,,0,,【未詳】,,102701,,,,,102701
20280,辛思仁,元,未詳,未詳,Xin Siren,,未詳,未詳,,,0,,【未詳】,,103813,,,,,103813
20281,忽都,元,未詳,未詳,Hudou,,未詳,未詳,,,0,,【未詳】,,116312,,,,,116312
20282,岳天祐,元,未詳,未詳,Yue Tianyou,,未詳,未詳,,,0,,【未詳】,,386173,,,,,386173
20283,阿察赤,元,未詳,未詳,Achachi,,未詳,未詳,,,0,,【未詳】,,113540,,,,,113540
20284,方棐,元,未詳,未詳,Fang Fei,,未詳,未詳,0,0,0,1261,【未詳】,Index year algorithmically generated: Rule 8;,37919,,0,0,,37919
20285,王沂,元,未詳,未詳,Wang Yi(23),正常科舉,未詳,未詳,,,0,1345,【未詳】,"Wang(2) Yi(23) [28615] WDY, 1, p. 88.延祐二年進士",28615,[為官者：文],,,,28615
20286,不花,元,未詳,未詳,Buhua,,未詳,未詳,,,0,,【未詳】,,114285,,,,,114285
20287,王東,元,未詳,未詳,Wang Dong,,未詳,未詳,,,0,,【未詳】,,100696,,,,,100696
20288,鼐濟,元,未詳,未詳,Naiji,,未詳,未詳,,,0,,【未詳】,,437143,,,,,437143
20289,張務志,元,未詳,未詳,Zhang Wuzhi,,未詳,未詳,,,0,1342,【未詳】,,107153,,1292,1342,51,107153
20290,朱天祥,元,未詳,未詳,Zhu Tianxiang,,未詳,未詳,,,0,,【未詳】,,101984,,,,,101984
20291,徐傑,元,未詳,未詳,Xu Jie,,未詳,未詳,,,0,,【未詳】,,105494,,,,,105494
20292,吳舉,元,未詳,未詳,Wu Ju,,未詳,未詳,,,0,,【未詳】,,102351,,,,,102351
20293,楊氏(趙瑨妻),元,未詳,未詳,Yang Shi(Wife of Zhao Jin ),,未詳,未詳,,,1,,【未詳】,,117850,,,,,117850
20294,壽童,元,未詳,未詳,Shoutong,,未詳,未詳,,,0,,【未詳】,,116742,,,,,116742
20295,劉璧,元,未詳,未詳,Liu Bi,,未詳,未詳,,,0,,【未詳】,,111087,,,,,111087
